"County","Precinct","CST","REP","DEM","LIB","GRE"
"UNION","037B",1,860,473,8,2
"DUPLIN","OS KENANSVILLE",6,4899,2496,17,5
"MECKLENBURG","085",2,566,907,17,5
"CABARRUS","02-07",1,268,125,1,2
"WILKES","122",0,377,14,1,0
"MECKLENBURG","223.1",8,1603,3234,38,13
"NEW HANOVER","H12",3,472,580,23,2
"CALDWELL","PR08",0,236,51,1,0
"FORSYTH","601",3,274,1022,5,7
"ORANGE","DM",1,72,105,7,0
"DURHAM","45",0,168,139,10,1
"DURHAM","38",1,101,270,7,2
"GUILFORD","H29A",0,105,102,7,0
"MECKLENBURG","217",6,771,879,14,0
"HENDERSON","CC",3,1744,616,16,4
"FORSYTH","803",2,719,786,14,1
"WAKE","OSOP 1-40",15,4685,7559,140,26
"LEE","PROVISIONAL",0,27,16,1,1
"HYDE","PROVISIONAL",0,9,4,0,0
"BUNCOMBE","23.2",1,51,156,0,2
"MECKLENBURG","215",5,1189,1121,31,4
"MITCHELL","01",1,814,222,6,0
"STANLY","0007",3,1074,617,15,2
"NEW HANOVER","FP08",4,611,600,21,5
"GASTON","01",1,423,562,16,7
"YANCEY","11 PRI",2,746,224,5,2
"BUNCOMBE","45.1",2,425,604,19,9
"CLAY","HAYC",2,251,86,3,0
"MCDOWELL","NEBO",2,1566,493,11,5
"JONES","TRANSFER",0,0,0,0,0
"YADKIN","NBCK",1,334,58,1,1
"CALDWELL","ABSENTEE",11,2311,2497,37,17
"WAKE","07-04",2,215,239,13,3
"PASQUOTANK","TRANSFER",0,0,0,0,0
"ORANGE","EF",1,154,66,2,2
"GASTON","30",1,1233,515,9,2
"CATAWBA","28",6,1551,738,24,7
"HOKE","14",8,1062,1953,53,8
"WAYNE","10",0,56,143,2,0
"TYRRELL","2",1,140,91,2,0
"MECKLENBURG","025",4,33,1366,8,10
"CUMBERLAND","CC06",2,435,430,13,3
"DUPLIN","WOLF",0,442,73,0,0
"BERTIE","OS LW",1,193,992,2,3
"HAYWOOD","CR",3,725,321,10,3
"WAYNE","22",0,70,95,3,0
"PITT","1403A2",0,137,109,5,2
"ONSLOW","VR15",3,1060,356,46,3
"WAKE","07-12",0,121,138,15,1
"MECKLENBURG","048",0,634,577,10,2
"BERTIE","M1",1,120,64,0,0
"MARTIN","W1",1,161,149,2,0
"GUILFORD","G09",1,72,257,6,4
"GUILFORD","G65",0,122,144,8,2
"JOHNSTON","PR25",0,173,142,3,2
"CURRITUCK","IR",1,281,45,3,0
"AVERY","05",1,91,10,0,0
"BRUNSWICK","22",2,1627,862,17,3
"MACON","ONE STOP BOE",12,8478,2733,77,11
"BUNCOMBE","ECBL",10,5186,3366,62,13
"CABARRUS","02-08",0,502,270,12,2
"HAYWOOD","CE",0,260,36,3,0
"DURHAM","51",0,89,131,11,1
"YADKIN","SKNB",0,301,29,3,2
"WILKES","126",0,217,17,2,0
"TYRRELL","PROVISIONAL",0,0,0,0,0
"PITT","1513A",0,195,130,11,4
"PAMLICO","1AL A",0,279,105,6,2
"WAKE","13-08",0,126,270,5,3
"PASQUOTANK","ABSENTEE",4,758,1760,23,16
"MONTGOMERY","ROC",0,212,353,1,0
"GASTON","36",1,1959,435,19,2
"NASH","P14A",0,220,48,3,0
"WATAUGA","03",0,161,69,3,1
"MACON","13",1,263,34,0,0
"RICHMOND","BROWDER",7,2679,2004,25,9
"HALIFAX","RR 11",0,234,107,2,0
"ORANGE","WD",0,52,78,5,3
"GUILFORD","CG1",2,106,153,4,0
"CHOWAN","5",0,567,157,4,0
"RUTHERFORD","14",1,1162,635,19,3
"SCOTLAND","04",1,219,109,2,1
"GASTON","09",3,654,707,11,4
"CABARRUS","03-00",5,469,188,8,2
"EDGECOMBE","TARBORO 1",8,3295,4623,27,11
"BERTIE","OS POW",1,747,1057,5,3
"BRUNSWICK","03",4,562,735,11,2
"NEW HANOVER","W29",2,57,763,11,0
"ORANGE","HF",0,62,70,4,1
"ALEXANDER","LRSL",1,1334,255,7,2
"WAKE","10-02",2,275,196,13,3
"NASH","P17A",3,202,265,5,0
"LENOIR","K1",0,13,449,2,3
"LENOIR","FC",3,2224,1000,17,3
"GUILFORD","H12",0,40,106,0,2
"ROCKINGHAM","HU",7,2704,806,22,8
"GUILFORD","G28",0,78,68,7,1
