"County","Precinct","CST","REP","DEM","LIB","GRE"
"YANCEY","07 BRU",0,224,97,1,3
"GASTON","39",5,2491,379,23,2
"CUMBERLAND","G5A-2",4,677,1103,16,3
"GASTON","31",1,2032,606,21,2
"BEAUFORT","TCRK",1,347,78,2,0
"GUILFORD","G01",0,19,106,1,0
"HENDERSON","HV-1",6,701,606,15,8
"STOKES","0506",0,525,91,5,1
"STANLY","0017",2,1283,296,7,0
"GUILFORD","JAM4",0,162,60,1,1
"WAKE","08-06",0,74,126,4,4
"ORANGE","WDS",0,5,94,0,0
"WAKE","04-15",3,210,192,18,1
"WAKE","19-14",1,249,165,5,0
"GUILFORD","G02",1,76,131,1,1
"GREENE","SUGG",0,444,326,3,0
"DAVIDSON","06",3,1792,231,13,7
"FORSYTH","909",2,478,678,13,1
"CURRITUCK","CJ",1,121,34,6,0
"JONES","P04",0,251,77,6,0
"GUILFORD","JAM1",1,102,62,2,1
"WASHINGTON","ONE STOP",3,1887,2384,6,1
"GUILFORD","G48",1,92,249,8,1
"WAYNE","07",0,344,106,12,0
"WAKE","20-06B",0,321,215,21,1
"MACON","04",0,221,51,4,2
"WAKE","12-05",0,444,209,24,5
"BUNCOMBE","65.1",2,229,479,7,2
"HOKE","64",3,654,811,14,4
"GUILFORD","G41A",0,73,76,5,1
"HALIFAX","PROVISIONAL",1,61,87,0,1
"WAKE","OSGR 1-40",10,1309,3887,39,9
"DAVIDSON","78",7,1954,320,14,3
"BUNCOMBE","ABSENTEE",0,0,0,0,0
"HOKE","02",4,594,625,11,2
"MECKLENBURG","036",6,705,773,17,2
"UNION","034",3,2191,740,16,4
"WAKE","OSWN 81-120",9,1251,1903,26,8
"MACON","11",0,347,74,2,0
"VANCE","HTOP",0,155,348,4,0
"FRANKLIN","13",4,1085,531,8,4
"GUILFORD","GR",1,598,101,11,2
"CHATHAM","20",2,969,634,17,2
"EDGECOMBE","1301",0,192,42,1,0
"CARTERET","DASW",0,425,91,4,1
"GREENE","SH#1",2,586,696,6,3
"MECKLENBURG","145",9,2043,3986,56,12
"CARTERET","HAIS",1,649,151,5,0
"WAKE","07-05",1,127,109,8,2
"IREDELL","SH-B",5,1979,464,18,1
"MARTIN","R2",0,103,57,2,1
"MECKLENBURG","062",3,252,917,5,3
"CATAWBA","02",1,1485,325,7,2
"BURKE","0040",2,889,432,12,2
"PERSON","SWST",5,1089,518,5,3
"BUNCOMBE","53.1",2,344,299,7,6
"MECKLENBURG","115",4,306,727,10,4
"ROBESON","11",2,2083,967,7,3
"MECKLENBURG","220",6,1370,732,10,6
"MECKLENBURG","240",4,2409,1629,29,9
"HAYWOOD","WE",2,602,381,5,1
"WAKE","OSAB 1-40",24,9058,9740,182,27
"CARTERET","MERR",0,285,132,0,0
"UNION","028C",3,1770,1457,28,4
"MCDOWELL","MAR 1",0,1522,650,15,3
"MARTIN","R1",0,73,62,1,0
"BERTIE","SN",1,24,61,0,0
"BURKE","0029-A",1,725,131,1,3
"MONTGOMERY","OPH",0,242,20,0,0
"MCDOWELL","M.COVE",1,1032,260,5,0
"PITT","1504A",0,40,158,2,1
"RICHMOND","07",0,131,80,0,0
"DURHAM","28",2,406,101,8,0
"GUILFORD","SF2",1,229,77,0,0
"DURHAM","ABSENTEE",53,5420,41458,381,146
"UNION","010",3,280,576,11,3
"DAVIDSON","34",2,571,469,14,2
"DAVIE","14",1,1275,378,7,2
"WARREN","007",2,194,385,6,2
"RANDOLPH","UG",4,4591,1101,43,9
"UNION","029B",4,825,554,17,0
"WASHINGTON","SC",0,220,137,3,0
"BURKE","0052",0,703,277,6,2
"GRANVILLE","CORI",1,1030,803,13,2
"HAYWOOD","JC",4,1460,639,17,4
"BUNCOMBE","70.1",2,269,687,11,2
"ALAMANCE","128",4,366,903,11,6
"NEW HANOVER","FP06",2,529,598,16,5
"WAKE","13-05",1,98,159,3,2
"LEE","OS HALES",13,4013,4453,56,20
"MECKLENBURG","022",5,1838,3288,90,12
"CUMBERLAND","G1A",1,515,1005,11,4
"WAKE","20-05",4,311,142,14,1
"HAYWOOD","WS-2",1,678,390,11,5
"BEAUFORT","BLCK",1,135,68,0,0
"RANDOLPH","TB",2,1997,239,4,1
"PERSON","FLRI",7,3081,1257,44,8
"NASH","NASHVILLE OS",13,10968,7217,76,14
"GUILFORD","H27-A",1,79,78,1,0
"PENDER","SP15",5,2216,1043,43,7
"HENDERSON","FL",2,1718,1106,41,11
"WAKE","07-01",3,143,154,5,0
"RICHMOND","13",1,143,67,2,0
"PITT","1513B",1,164,106,5,2
"GASTON","11",1,507,673,3,2
"DAVIDSON","PROVISIONAL",1,125,54,0,0
"STOKES","20",0,434,74,3,1
"WAKE","OSWO 81-120",0,27,18,0,0
"LENOIR","MH",5,1415,1358,16,0
"ORANGE","CX",1,277,159,11,4
"ROWAN","01",2,1259,210,12,1
"CABARRUS","01-08",0,333,198,21,2
"WAKE","08-07",0,338,197,18,2
"PITT","1102A",1,212,81,10,0
"SURRY","TRANSFER",0,0,0,0,0
"HARNETT","PR01",1,631,319,30,2
"DUPLIN","ALBE",1,370,85,7,1
"COLUMBUS","P15",1,953,654,8,1
"CUMBERLAND","CC18",0,750,463,9,0
"HAYWOOD","PROVISIONAL",0,0,0,0,0
"SAMPSON","HERR",0,565,70,1,0
"LINCOLN","LINCOLN OS",6,6086,1803,45,7
"WAKE","OSCM 41-80",1,364,1173,16,0
"PERSON","ROX4",1,640,704,7,3
"POLK","PROVISIONAL",0,20,7,1,0
"MECKLENBURG","077",7,171,1263,10,4
"AVERY","18",0,108,9,0,1
"HOKE","13",0,612,339,6,2
"ANSON","MM",3,202,654,1,1
"CLEVELAND","LATT",2,1680,445,11,3
"BLADEN","P15",1,322,84,6,0
"GUILFORD","G27",2,183,111,11,2
"SCOTLAND","PROVISIONAL",0,53,25,2,1
"CASWELL","PH",1,947,503,9,3
"CATAWBA","26",1,842,695,13,4
"BURKE","0013",0,1826,362,13,3
"NASH","P05A",1,545,48,9,1
"NEW HANOVER","H11",0,752,904,20,10
"GUILFORD","CG3A",1,114,72,3,1
"WAKE","OSHS 1-40",17,6607,6730,167,19
"HAYWOOD","CL-N",7,1015,458,12,2
"MECKLENBURG","141",1,289,1447,34,12
"DUPLIN","PROVISIONAL",0,42,34,0,0
"WAKE","17-01",0,105,170,5,2
"SURRY","32",1,258,50,4,1
"GUILFORD","G52",1,34,203,3,1
"STOKES","11",1,407,72,4,0
"MECKLENBURG","082",3,134,1726,13,9
"GREENE","CAST",0,476,204,1,0
"STOKES","1618",1,208,89,3,2
"WAKE","17-13",2,235,223,11,3
"ASHE","10",1,147,39,2,1
"STANLY","0028",1,715,391,8,3
"ASHE","04",1,238,154,0,2
"FORSYTH","203",1,44,1082,8,4
"NASH","TRANSFER",0,0,0,0,0
"WAKE","01-28",3,133,425,11,2
"JOHNSTON","SMITHFIELD",10,7711,4067,72,13
"WAKE","19-19",4,411,174,12,7
"CRAVEN","07",0,1144,729,17,3
"ROBESON","11A",5,717,322,3,1
"GUILFORD","H06",0,157,178,7,5
"SURRY","19",0,235,71,5,0
"NEW HANOVER","M02",1,755,1001,27,8
"ASHE","18",0,94,30,3,0
"HOKE","03",0,249,351,2,4
"JOHNSTON","PR36",0,609,129,6,0
"SAMPSON","ROSE",2,817,262,4,0
"HARNETT","PR08",2,465,239,10,7
"BUNCOMBE","03.1",0,48,654,5,2
"RICHMOND","06",0,181,43,3,0
"UNION","037A",4,2497,1950,61,5
"FORSYTH","042",3,1245,1568,20,10
"TRANSYLVANIA","B3",2,696,883,15,7
"DAVIDSON","16",7,1801,289,24,5
"ORANGE","NC",1,29,34,1,0
"AVERY","17",1,171,18,3,0
"BUNCOMBE","HACC",1,266,2468,23,12
"MARTIN","CR",1,194,62,2,0
"HAYWOOD","IH",6,1778,809,27,11
"WAKE","20-10",2,250,166,6,0
"CASWELL","STON",2,1215,527,6,4
"MACON","09",0,151,40,6,0
"HERTFORD","CM",0,123,36,0,0
"DURHAM","OS GETG",4,206,2660,11,6
"BUNCOMBE","46.1",2,163,256,4,0
"FORSYTH","806",3,735,863,18,8
"WAKE","18-07",4,330,132,16,0
"MECKLENBURG","135",5,555,4099,30,12
"ROWAN","13",2,1514,252,20,2
"WAYNE","26",1,148,128,4,0
"BUNCOMBE","14.2",1,99,503,3,5
"BURKE","0039",1,652,595,16,2
"DAVIDSON","88",4,1203,360,12,5
"BLADEN","P45",0,101,45,1,0
"BUNCOMBE","42.1",0,277,356,12,1
"ROBESON","13",2,615,569,1,4
"MCDOWELL","FORT 2",2,1034,419,17,1
"TRANSYLVANIA","WC",4,744,614,20,2
"MECKLENBURG","003",0,132,1034,10,5
"MECKLENBURG","212",8,1150,5657,56,20
"WAKE","01-15",2,193,123,8,1
"ORANGE","CG",0,186,67,5,1
"WILKES","129",1,231,59,2,0
"BUNCOMBE","30.3",2,393,539,8,3
"NEW HANOVER","H04",2,443,708,14,2
"GUILFORD","G50",0,133,348,3,3
"LEE","C2",1,269,98,7,2
"MECKLENBURG","151",1,722,2556,30,3
"NEW HANOVER","ONE STOP CBC",8,5089,2893,59,7
"WATAUGA","OS DG",3,2581,1248,26,4
"CRAVEN","N4",7,1411,1946,44,7
"HENDERSON","SW",3,1030,559,15,8
"GRANVILLE","SASS",1,906,569,4,2
"WAKE","15-01",2,350,134,10,1
"STOKES","ONE STOP DANBURY",2,1832,578,13,1
"NASH","MT. PLEASANT OS",4,3192,1639,28,2
"PITT","1505B",0,44,207,2,1
"RANDOLPH","BC",6,2138,360,19,4
"BEAUFORT","HB",1,272,11,0,0
"WAKE","OSOP 81-120",1,296,479,5,1
"WAKE","01-43",0,166,206,7,1
"FORSYTH","067",0,806,670,11,4
"WAYNE","02",0,378,83,3,0
"FORSYTH","205",1,31,543,4,1
"TRANSYLVANIA","LR",0,910,442,9,2
"BURKE","0048",3,991,632,10,2
"ROBESON","19",3,784,1178,5,1
"MADISON","REVERE",0,118,104,2,0
"AVERY","08",0,105,19,0,0
"MARTIN","GR",2,404,62,0,0
"WATAUGA","OS BR",1,1272,1106,22,1
"GATES","4S",4,351,386,6,0
"BURKE","0014",1,1326,221,7,4
"JOHNSTON","PR29B",4,538,269,14,1
"STANLY","0018",2,704,201,10,0
"BUNCOMBE","09.1",1,274,834,20,5
"BRUNSWICK","23",2,1732,909,17,2
"CALDWELL","PR24",0,158,35,3,1
"HENDERSON","CB",0,621,213,10,1
"FORSYTH","906",9,942,1707,25,7
"CARTERET","EMIS",3,2147,1038,17,4
"RICHMOND","16",0,96,10,0,0
"HERTFORD","MURFREE CNTR",1,705,1725,9,1
"GREENE","HOOK",0,339,272,1,0
"DAVIE","02",1,634,156,8,1
"CUMBERLAND","G7A",1,729,267,6,1
"JOHNSTON","PR21",0,529,75,6,0
"EDGECOMBE","0801",2,202,52,0,1
"WAKE","04-19",0,137,86,8,1
"CUMBERLAND","G3B",5,389,447,3,1
"CABARRUS","04-01",1,162,176,5,1
"GUILFORD","G29",1,62,100,1,0
"MOORE","CAR",1,357,109,11,2
"CHATHAM","75",4,1852,2335,17,3
"BUNCOMBE","39.3",0,256,351,9,4
"WILSON","PRWE",0,286,701,4,3
"RUTHERFORD","05A",1,1566,431,12,3
"PITT","0301",1,198,241,10,0
"DAVIDSON","ABSENTEE",28,5951,6173,106,24
"DAVIDSON","OS TLIB",0,0,0,0,0
"WAKE","02-05",0,207,96,4,1
"ALEXANDER","B2",6,2189,592,16,4
"HENDERSON","NB",4,1936,607,27,4
"NORTHAMPTON","TRANSFER",0,0,0,0,0
"WAKE","OSNR 41-80",0,52,63,3,1
"CUMBERLAND","CC01",2,208,1329,8,4
"HENDERSON","LJ",6,781,428,17,2
"FORSYTH","907",8,505,1018,24,6
"ROBESON","07",0,258,253,1,1
"GASTON","12",2,1452,750,14,4
"WAKE","05-06",1,291,164,4,3
"BEAUFORT","NCRK",0,363,38,2,0
"DAVIDSON","40",2,624,500,11,5
"CUMBERLAND","CC17",0,221,1420,8,7
"HALIFAX","OS RINGWOOD",3,287,2059,4,1
"MECKLENBURG","032",0,654,548,12,0
"DAVIE","12",3,2103,631,27,5
"ALAMANCE","063",3,571,1198,8,6
"ASHE","11",3,1122,404,8,3
"LEE","TRANSFER",0,0,0,0,0
"CUMBERLAND","G6B",1,707,204,5,1
"IREDELL","SH-A",3,1922,511,5,0
"WATAUGA","PROVISIONAL",2,57,45,2,3
"FORSYTH","708",3,1388,2039,26,10
"WAKE","17-02",0,139,79,5,0
"CRAVEN","19",4,1186,1040,28,6
"AVERY","07",0,93,3,0,0
"YADKIN","SFAL",1,433,38,2,0
"VANCE","EH1",1,78,1171,3,1
"IREDELL","CH-A",4,1251,679,14,2
"GUILFORD","SCLAY",0,351,42,10,0
"ROBESON","26A",6,742,1397,9,3
"BEAUFORT","BEADM",0,298,26,2,0
"MECKLENBURG","129",2,228,532,4,5
"EDGECOMBE","PINES CHAP FELLSHIP HALL",1,1604,1179,13,1
"WAKE","20-14",1,299,178,12,2
"BUNCOMBE","48.1",2,432,516,9,1
"BUNCOMBE","54.2",4,384,649,13,6
"MCDOWELL","MAR 3",0,493,176,7,2
"GUILFORD","G22",3,213,76,4,0
"AVERY","19",0,122,5,0,0
"ORANGE","CH",0,25,70,2,0
"WAKE","14-02",4,829,235,14,1
"YADKIN","NFAL",0,301,37,2,2
"GUILFORD","G06",2,18,143,2,1
"JACKSON","SDC",14,2213,2125,48,15
"COLUMBUS","P20A",2,214,332,4,2
"PITT","1507B",0,86,54,5,0
"WARREN","011",2,83,155,3,1
"MOORE","WEM",3,572,66,1,1
"GASTON","19",5,2400,1065,20,10
"COLUMBUS","P14",7,1475,1165,8,2
"BERTIE","MH",0,79,45,0,0
"VANCE","NV",2,334,705,3,3
"GUILFORD","NCLAY2",1,195,31,1,1
"PENDER","MT19",5,1928,1002,23,6
"MECKLENBURG","059",1,333,454,7,2
"GUILFORD","G69",1,31,228,5,3
"GUILFORD","G44",0,51,128,5,3
"FORSYTH","501",2,148,1398,4,5
"ORANGE","KM",1,38,49,3,0
"WAKE","06-09",1,388,182,14,1
"RANDOLPH","TT",1,2814,427,16,4
"MOORE","PBF",1,257,125,6,1
"ROCKINGHAM","SE",3,1870,1174,16,5
"MACON","TRANSFER",0,16,0,0,0
"MARTIN","PROVISIONAL",1,24,19,1,0
"ROWAN","12",0,710,654,17,3
"STANLY","0003",7,966,758,16,2
"ANSON","WADES",10,1570,2643,16,7
"CUMBERLAND","G8A",3,1012,1706,44,6
"NEW HANOVER","H05",4,539,669,14,2
"MITCHELL","09",1,796,286,2,1
"PERQUIMANS","PARKVI",3,860,537,9,2
"FORSYTH","507",3,1475,2418,49,20
"ASHE","15",3,563,126,3,0
"CLAY","SHCR",0,788,180,8,3
"MECKLENBURG","097",0,152,761,9,7
"LINCOLN","BC13",0,151,96,5,1
"DAVIDSON","08",4,523,153,6,5
"LINCOLN","CF19",0,118,38,3,0
"CUMBERLAND","CC24",1,344,642,14,1
"VANCE","SH2",0,163,289,0,0
"WATAUGA","TRANSFER",0,4,9,1,0
"DURHAM","OS TRC",10,1152,4776,54,12
"WAKE","07-10",1,263,264,17,2
"UNION","013",0,2005,320,12,3
"CABARRUS","04-11",1,236,165,9,3
"MECKLENBURG","073",2,505,622,7,6
"MECKLENBURG","227",4,2165,2039,35,12
"WAKE","OSOP 121-128",0,3,0,0,0
"DAVIE","13",4,1596,585,17,4
"MECKLENBURG","011",7,1674,3627,73,17
"DAVIDSON","TRANSFER",4,1727,679,5,2
"PITT","0501",0,275,59,2,0
"GREENE","WALS",0,421,378,2,2
"ROBESON","14",1,354,316,5,0
"WAYNE","OS LIB",7,2709,4120,25,8
"WAKE","17-10",2,108,102,5,0
"SCOTLAND","01-16",1,103,225,1,1
"EDGECOMBE","1201",1,23,319,1,1
"JOHNSTON","PR13",2,366,68,9,1
"SWAIN","WHCH",10,812,1145,24,9
"JOHNSTON","PR12B",2,334,137,12,0
"DURHAM","TRANSFER",0,0,0,0,0
"DURHAM","06",0,24,97,2,0
"CABARRUS","09-00",1,523,67,2,0
"ORANGE","OS SEYMOUR",6,1404,6004,36,15
"MCDOWELL","FORT 1",2,719,278,9,1
"DUPLIN","BEUL",0,467,95,2,0
"ORANGE","OW",0,39,120,7,0
"AVERY","ABSENTEE",0,445,475,6,3
"DAVIDSON","84",3,2851,825,30,5
"LENOIR","SW",1,638,167,7,0
"PITT","1511A",1,288,140,6,1
"HENDERSON","EF",2,1170,469,16,6
"ALAMANCE","12W",3,692,897,14,5
"WAKE","OSAP 121-128",0,0,0,0,0
"STOKES","04",1,281,51,3,2
"GUILFORD","G39",0,59,61,2,2
"ASHE","ONE STOP",0,0,0,0,0
"MOORE","EAB",0,223,116,8,1
"FORSYTH","305",2,45,1000,5,6
"FORSYTH","802",0,563,808,10,3
"CATAWBA","11",0,371,370,4,4
"WAKE","OSNR 1-40",23,7057,6062,94,21
"LINCOLN","IS20",0,383,45,6,3
"BUNCOMBE","19.1",0,143,369,3,4
"CURRITUCK","WH",0,269,154,5,2
"CLEVELAND","POLKVL",1,1576,330,3,3
"DAVIDSON","56",3,873,93,4,2
"MECKLENBURG","229",6,2874,4020,71,12
"CARTERET","ISPK",3,925,517,9,2
"FORSYTH","083",2,621,1084,12,3
"CRAVEN","05",5,1258,736,19,5
"GRAHAM","TAPO",2,294,39,3,0
"BURKE","0001",2,1672,658,14,4
"WAKE","01-30",1,136,110,5,0
"DUPLIN","WALL",0,174,129,3,1
"MECKLENBURG","040",3,197,1362,7,10
"ONSLOW","BC21",5,2606,862,86,5
"ASHE","20",4,1692,644,20,7
"EDGECOMBE","1001",1,137,107,4,1
"WASHINGTON","PROVISIONAL",0,2,5,0,0
"ALAMANCE","12E",5,355,657,9,4
"ROCKINGHAM","RC",5,2831,1007,31,3
"GUILFORD","G15",2,86,95,4,1
"JOHNSTON","PR31B",0,389,146,10,0
"ONSLOW","JA01",1,1553,1015,114,10
"GUILFORD","G55",2,49,165,1,0
"BERTIE","WH",1,148,48,1,0
"WAKE","01-19",0,20,209,2,4
"MADISON","SPRING",0,349,253,4,2
"ALAMANCE","09S",8,2176,1452,29,5
"MONTGOMERY","UWH",1,922,229,7,4
"CABARRUS","02-06",2,232,215,10,2
"MECKLENBURG","110",1,429,484,8,1
"WAKE","11-01",2,226,252,20,4
"BRUNSWICK","05",7,2189,1034,40,6
"RICHMOND","TRANSFER",0,0,0,0,0
"MADISON","SOUTH",4,433,353,8,3
"ROBESON","18A",4,636,535,7,1
"MOORE","ONE STOP AG",11,8223,2817,72,13
"WAKE","15-04",3,262,115,8,3
"PERSON","HLWY",1,638,242,2,1
"MOORE","CAM",1,242,77,2,0
"WAKE","13-06",2,178,104,6,1
"BEAUFORT","OLDF",0,166,66,4,1
"BUNCOMBE","18.2",3,469,1343,15,9
"WAKE","01-20",0,48,155,2,0
"COLUMBUS","P24",0,1333,150,1,1
"SAMPSON","WBRK",1,902,271,9,3
"MECKLENBURG","122",12,1234,2237,51,16
"NORTHAMPTON","PROVISIONAL",0,8,11,0,0
"CRAVEN","16",3,2087,991,53,3
"YADKIN","ONE STOP",14,9332,1947,63,10
"GUILFORD","G70",1,13,238,0,1
"CABARRUS","06-00",0,589,55,2,0
"CABARRUS","01-10",0,294,123,5,2
"MOORE","SLS",2,407,83,7,0
"CABARRUS","12-09",0,308,117,7,1
"IREDELL","CC4",14,3481,1984,75,8
"LEE","A2",2,184,320,9,1
"ANSON","POLK",0,382,263,3,1
"GASTON","44",6,2890,1058,29,2
"VANCE","NH",5,1091,1438,10,2
"BUNCOMBE","16.2",1,112,612,6,3
"PERSON","ALVI",2,973,726,7,1
"ALAMANCE","129",2,904,520,18,0
"ROWAN","19A",1,2535,824,32,4
"WAKE","08-02",1,206,143,14,1
"BURKE","0031",3,521,923,16,5
"BRUNSWICK","15",4,3882,1877,30,6
"WAKE","OSBR 81-120",1,250,535,7,1
"JACKSON","CAS",2,974,566,16,5
"PERQUIMANS","BELVID",2,403,144,3,0
"ORANGE","TO",1,255,104,3,0
"ROCKINGHAM","ED-1",3,1907,982,24,7
"NEW HANOVER","M04",6,680,1104,26,4
"HAYWOOD","WO",0,166,58,2,0
"CUMBERLAND","G5A-1",8,446,1420,8,13
"WAKE","PROVI 81-120",0,34,41,2,0
"NASH","P11A",1,365,62,5,0
"WASHINGTON","P1",2,49,66,1,0
"JOHNSTON","PR31A",2,222,72,5,1
"BURKE","0047-B",1,676,350,3,2
"WAKE","04-12",0,151,102,8,2
"HERTFORD","A2",0,90,84,0,0
"WAKE","OSHS 121-128",0,0,0,0,0
"HARNETT","OS ANGIER",8,4229,1942,48,10
"WILSON","PRWH",2,21,492,3,2
"BUNCOMBE","43.2",1,147,236,10,3
"EDGECOMBE","0102",0,160,168,4,1
"WARREN","002",1,424,287,3,0
"ALAMANCE","06E",3,827,920,20,5
"COLUMBUS","P26B",3,1306,927,2,4
"LEE","E2",5,214,124,3,0
"RICHMOND","CO OP",5,3021,2014,21,7
"DAVIDSON","44",4,2102,592,18,7
"NORTHAMPTON","WOPO",0,143,70,3,1
"PITT","1501",2,3,76,0,1
"YADKIN","DCRK",2,360,65,7,3
"MOORE","SSP",0,159,251,5,1
"FORSYTH","801",1,379,740,10,3
"DURHAM","46",1,77,226,1,2
"PITT","1510A",1,230,102,3,0
"WARREN","013",2,203,244,2,1
"VANCE","CC",4,1136,899,11,0
"HAYWOOD","BE-2",1,602,257,9,5
"BUNCOMBE","64.1",2,252,245,10,5
"GUILFORD","G14",1,74,91,6,2
"LINCOLN","DV08",2,421,41,4,0
"CATAWBA","03",4,1427,423,7,3
"DAVIDSON","76",4,1844,269,18,4
"MECKLENBURG","065",0,408,542,10,6
"BRUNSWICK","09",1,600,363,5,1
"GUILFORD","SF1",0,355,92,3,1
"CATAWBA","19",1,563,306,7,2
"PERSON","MTTZ",3,1411,637,12,2
"ROWAN","10",1,1807,529,22,4
"GUILFORD","G12",1,52,93,3,1
"MACON","15",0,322,69,3,1
"TRANSYLVANIA","B2",3,505,718,7,4
"CUMBERLAND","G10A",8,1918,1942,42,11
"WAKE","OSWO 1-40",22,9695,6456,202,24
"EDGECOMBE","0201",0,149,112,3,0
"DURHAM","52",1,49,222,1,0
"CATAWBA","41",1,2158,678,19,3
"IREDELL","ST2",2,1189,1138,27,2
"HAYWOOD","WC",0,234,175,9,1
"PENDER","CF11",6,1830,739,38,5
"RUTHERFORD","04A",0,1374,384,10,7
"WARREN","004",3,244,362,6,3
"WATAUGA","16",0,24,5,0,0
"JOHNSTON","PR34",2,326,235,11,2
"GUILFORD","H01",0,101,225,2,0
"WAKE","OSAP 81-120",0,51,80,0,0
"BURKE","0024",2,1399,567,20,3
"MADISON","WALNUT",0,627,402,5,3
"CUMBERLAND","MR02",3,687,1359,26,11
"DAVIE","ABSENTEE",4,1385,1681,35,8
"CHEROKEE","PCHT",7,1305,361,10,3
"MACON","12",0,217,58,6,1
"UNION","038A",2,1703,1320,25,13
"GUILFORD","H20B",0,93,44,4,1
"SURRY","13",1,128,43,2,0
"YADKIN","TRANSFER",0,0,0,0,0
"BERTIE","W1",0,107,187,0,0
"ASHE","16",1,1210,465,17,2
"HYDE","ABSENTEE",1,69,146,1,0
"WAYNE","1920",1,34,256,2,0
"IREDELL","CC1",8,3283,2042,64,8
"SCOTLAND","TRANSFER",0,0,0,0,0
"BLADEN","BAY TREE FIRE DEPT",2,742,168,1,2
"STANLY","0025",0,2191,367,27,3
"ALAMANCE","08S",1,826,357,14,4
"HALIFAX","FAUCT",1,176,55,0,2
"RICHMOND","10",0,100,154,2,1
"CATAWBA","38",3,1522,869,21,7
"WAKE","13-01",2,151,299,12,3
"CUMBERLAND","CL57-2",4,467,1829,24,4
"AVERY","02",2,389,116,7,2
"COLUMBUS","P02B",2,326,404,2,1
"FRANKLIN","17",3,2010,951,23,10
"MECKLENBURG","108",3,190,1083,10,4
"ROBESON","03",2,971,346,6,0
"CARTERET","OTBEG",2,1177,340,11,3
"NORTHAMPTON","LAKE G",1,153,97,2,0
"ROWAN","40",4,837,1018,20,7
"GUILFORD","H26",1,123,69,3,0
"DURHAM","32",0,143,60,8,0
"YADKIN","ABSENTEE",7,1154,994,12,4
"LEE","D1",2,273,95,12,1
"WAYNE","05",2,249,79,11,1
"HENDERSON","GR",0,1442,345,12,0
"MECKLENBURG","131",0,618,515,14,3
"JOHNSTON","PR20",0,681,210,4,4
"UNION","017A",4,1671,909,24,6
"RUTHERFORD","03A",3,1401,244,12,2
"HERTFORD","HV",0,112,82,1,0
"ROWAN","02",0,565,444,10,3
"CUMBERLAND","G6A",5,2627,1009,25,7
"CHEROKEE","RGER",4,991,307,6,5
"VANCE","WH",3,1232,1624,15,4
"GUILFORD","G03",2,18,197,2,2
"ALAMANCE","01",5,2299,566,27,6
"WAKE","20-12",0,328,214,14,1
"BLADEN","EAST ARCADIA",1,93,631,2,2
"WAKE","20-15",3,236,255,13,1
"WAYNE","OS PHL",6,4703,1095,26,10
"ROBESON","39",2,714,369,2,1
"TRANSYLVANIA","BD",3,1358,715,19,7
"MACON","ABSENTEE",6,1480,2086,23,7
"MCDOWELL","WEST M",2,2023,635,17,7
"HENDERSON","EV",5,1320,471,22,2
"GRANVILLE","ANTI",2,343,595,2,0
"WAKE","19-17",0,277,286,15,2
"CATAWBA","21",3,1175,290,13,2
"CUMBERLAND","CC21",2,705,1628,34,5
"DURHAM","41",0,12,151,1,0
"WAKE","OSCA 41-80",3,1210,2466,37,9
"CUMBERLAND","G2A",5,978,2341,24,13
"NEW HANOVER","FP03",1,320,325,8,0
"UNION","022",3,1701,486,27,6
"CATAWBA","25",5,925,572,15,3
"TRANSYLVANIA","EF",2,449,365,5,2
"LEE","B2",1,133,93,8,2
"CABARRUS","11-01",2,382,334,14,5
"STANLY","0010",1,653,316,8,0
"NORTHAMPTON","OS GASTON",2,821,1725,2,2
"MECKLENBURG","130",0,341,742,15,6
"NEW HANOVER","M03",2,552,687,16,6
"MECKLENBURG","105",2,444,2157,27,9
"DAVIE","PROVISIONAL",0,49,17,0,0
"CUMBERLAND","MB62",4,409,1539,22,4
"BURKE","0047-A",1,852,722,8,7
"ALAMANCE","03N2",3,259,403,0,0
"WAKE","04-07",0,302,127,4,0
"CALDWELL","PR33",2,482,90,12,1
"EDGECOMBE","0701",0,89,183,2,0
"WATAUGA","11",5,344,77,4,2
"DURHAM","50",0,131,190,12,1
"ALAMANCE","02",4,2387,559,15,4
"BRUNSWICK","06",0,800,406,14,3
"CARTERET","CCCP",1,2061,609,26,3
"RICHMOND","05",0,73,21,0,0
"WAKE","OSLL 41-80",5,3136,4251,77,12
"DURHAM","20",0,20,81,2,1
"IREDELL","OL",1,877,204,6,1
"ROBESON","24",0,510,240,0,0
"CABARRUS","11-02",2,353,109,8,1
"CHEROKEE","ANSW",2,858,250,7,1
"CUMBERLAND","G8D",5,1105,1010,28,7
"POLK","SA04",1,299,89,9,0
"ALLEGHANY","04",0,232,33,1,1
"WAKE","OSKD 81-120",0,572,333,7,0
"STOKES","PROVISIONAL",0,81,8,0,0
"UNION","042",4,1138,592,15,9
"DURHAM","05",0,36,174,3,1
"ORANGE","TH",0,21,68,0,0
"CABARRUS","OS CAE",22,15569,7214,161,26
"WARREN","010",3,296,992,8,2
"LENOIR","I",1,908,409,11,2
"GUILFORD","G17",0,106,79,4,0
"WAKE","OSWA 81-120",1,513,367,8,2
"BUNCOMBE","PROVISIONAL",0,0,0,0,0
"RANDOLPH","DR",1,2808,616,28,5
"CHATHAM","ESC114",6,1415,1622,14,3
"MONTGOMERY","CAN",2,588,429,2,0
"WAKE","OSCA 1-40",17,8342,14959,239,47
"DURHAM","08",0,34,165,6,0
"ONSLOW","CR07",5,2327,1009,79,7
